Year_of_Release,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Average,2600,3DS,DC,DS,G,GBA,GC,GEN,N64,NES,PC,PS,PS2,PS3,PS4,PSP,PSV,SAT,SNES,Wii,WiiU,X,X360,XOne
2006,1,41.36,28.96,3.77,8.45,82.54,33.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2009,1,15.61,10.95,3.28,2.95,32.78,13.113999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2007,1,8.92,8.03,3.6,2.15,22.7,9.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2009,1,9.01,8.49,2.53,1.77,21.79,8.718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2016,1,0.9,6.75,0.09,1.33,9.07,3.628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2015,1,1.13,6.13,0.06,1.28,8.6,3.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2007,1,2.57,3.86,0.66,0.91,7.99,3.198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2010,1,3.46,2.6,0.0,0.66,6.72,2.688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2011,1,0.84,4.3,0.11,1.4,6.65,2.66,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2013,1,0.79,4.24,0.07,1.38,6.48,2.592,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2010,1,3.92,1.73,0.03,0.51,6.19,2.476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2014,1,0.8,4.33,0.05,0.91,6.08,2.434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2003,1,4.26,0.26,0.01,0.71,5.23,2.094,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2008,1,1.63,2.45,0.44,0.57,5.09,2.036,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,1,0.61,3.28,0.06,1.12,5.07,2.028,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1999,1,3.42,1.38,0.02,0.2,5.02,2.008,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2005,1,3.98,0.26,0.01,0.66,4.91,1.964,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2000,1,3.05,1.41,0.02,0.2,4.68,1.8719999999999999,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2009,1,1.87,1.96,0.22,0.48,4.53,1.8119999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2004,1,4.18,0.26,0.01,0.08,4.53,1.8119999999999998,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2006,1,3.63,0.24,0.01,0.61,4.49,1.796,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2001,1,2.66,1.29,0.01,0.46,4.41,1.766,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
