Platform,Year_of_Release,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Wii,2006.0,Sports,41.36,28.96,3.77,8.45,82.54
NES,1985.0,Platform,29.08,3.58,6.81,0.77,40.24
Wii,2008.0,Racing,15.68,12.8,3.79,3.29,35.57
Wii,2009.0,Sports,15.61,10.95,3.28,2.95,32.78
G,1996.0,Role-Playing,11.27,8.89,10.22,1.0,31.37
G,1989.0,Puzzle,23.2,2.26,4.22,0.58,30.26
DS,2006.0,Platform,11.28,9.15,6.5,2.88,29.81
Wii,2006.0,Misc,13.96,9.18,2.93,2.84,28.92
Wii,2009.0,Platform,14.48,6.95,4.7,2.25,28.38
NES,1984.0,Shooter,26.93,0.63,0.28,0.47,28.31
DS,2005.0,Simulation,9.05,10.95,1.93,2.74,24.67
DS,2005.0,Racing,9.71,7.48,4.13,1.9,23.22
G,1999.0,Role-Playing,9.0,6.18,7.2,0.71,23.1
Wii,2007.0,Sports,8.92,8.03,3.6,2.15,22.7
X360,2010.0,Misc,15.02,4.91,0.24,1.69,21.86
Wii,2009.0,Sports,9.01,8.49,2.53,1.77,21.79
PS3,2013.0,Action,7.02,9.14,0.98,3.97,21.12
PS2,2004.0,Action,9.43,0.4,0.41,10.57,20.81
SNES,1990.0,Platform,12.78,3.75,3.54,0.55,20.61
DS,2005.0,Misc,4.74,9.2,4.16,2.04,20.15
DS,2006.0,Role-Playing,6.38,4.46,6.04,1.36,18.25
G,1989.0,Platform,10.83,2.71,4.18,0.42,18.14
NES,1988.0,Platform,9.54,3.44,3.84,0.46,17.28
X360,2013.0,Action,9.66,5.17,0.06,1.41,16.3
PS2,2002.0,Action,8.41,5.49,0.47,1.78,16.15
GBA,2002.0,Role-Playing,6.06,3.9,5.38,0.5,15.85
DS,2005.0,Puzzle,3.43,5.35,5.32,1.18,15.29
DS,2010.0,Role-Playing,5.51,3.18,5.66,0.8,15.14
PS2,2001.0,Racing,6.85,5.09,1.87,1.16,14.98
3DS,2013.0,Role-Playing,5.39,4.37,4.36,0.8,14.92
PS4,2015.0,Shooter,6.08,5.95,0.36,2.41,14.8
X360,2011.0,Shooter,9.06,4.26,0.13,1.33,14.77
X360,2010.0,Shooter,9.73,3.7,0.11,1.13,14.67
G,1998.0,Role-Playing,5.89,5.04,3.12,0.59,14.64
PS3,2012.0,Shooter,4.99,5.73,0.65,2.42,13.79
X360,2012.0,Shooter,8.25,4.26,0.07,1.12,13.69
X360,2009.0,Shooter,8.52,3.6,0.08,1.28,13.48
PS4,2014.0,Action,4.12,6.77,0.39,2.08,13.36
PS3,2011.0,Shooter,5.54,5.73,0.49,1.57,13.32
PS2,2001.0,Action,6.99,4.51,0.3,1.3,13.1
3DS,2011.0,Racing,5.2,4.19,2.7,0.94,13.04
Wii,2008.0,Fighting,6.64,2.56,2.66,1.01,12.87
PS3,2010.0,Shooter,6.0,4.37,0.48,1.8,12.64
DS,2005.0,Simulation,2.5,3.45,5.33,0.86,12.13
X360,2007.0,Shooter,7.97,2.81,0.13,1.21,12.12
3DS,2014.0,Role-Playing,4.45,3.64,3.1,0.76,11.95
N64,1996.0,Platform,6.91,2.85,1.91,0.23,11.89
DS,2009.0,Action,4.34,2.71,3.96,0.76,11.77
PS2,2004.0,Racing,3.01,0.01,1.1,7.53,11.66
3DS,2016.0,Role-Playing,5.01,2.74,2.88,0.77,11.4
Wii,2007.0,Platform,6.06,3.36,1.2,0.74,11.36
G,1992.0,Adventure,6.16,2.04,2.69,0.29,11.18
X360,2008.0,Action,6.77,3.07,0.14,1.03,11.01
PS,1997.0,Racing,4.02,3.87,2.54,0.52,10.95
3DS,2011.0,Platform,4.89,3.05,2.14,0.78,10.87
PS3,2010.0,Racing,2.96,4.82,0.81,2.11,10.7
PS3,2009.0,Shooter,4.99,3.64,0.38,1.6,10.6
SNES,1993.0,Platform,5.99,2.15,2.12,0.29,10.55
PS3,2008.0,Action,4.77,3.7,0.44,1.61,10.51
GBA,2004.0,Role-Playing,4.34,2.65,3.15,0.35,10.49
DS,2004.0,Platform,5.01,3.07,1.25,0.97,10.31
X360,2013.0,Shooter,6.75,2.58,0.04,0.91,10.28
Wii,2011.0,Misc,5.95,3.11,0.0,1.06,10.12
3DS,2012.0,Platform,3.66,3.27,2.49,0.63,10.05
X360,2010.0,Shooter,7.06,1.97,0.08,0.79,9.9
N64,1996.0,Racing,5.55,1.94,2.23,0.15,9.87
X360,2012.0,Shooter,6.68,2.3,0.04,0.74,9.77
PS,1997.0,Role-Playing,3.01,2.47,3.28,0.96,9.72
PS,1999.0,Racing,3.88,3.42,1.69,0.5,9.49
Wii,2010.0,Misc,5.8,2.85,0.01,0.78,9.44
PS3,2013.0,Shooter,4.1,3.63,0.38,1.26,9.37
X360,2007.0,Shooter,5.95,2.37,0.13,0.9,9.35
3DS,2012.0,Simulation,2.08,2.43,4.43,0.4,9.34
SNES,1994.0,Platform,4.36,1.71,3.0,0.23,9.3
X360,2013.0,Misc,5.76,2.7,0.02,0.82,9.3
PS4,2016.0,Sports,0.9,6.75,0.09,1.33,9.07
DS,2007.0,Misc,4.4,1.85,1.98,0.68,8.91
X360,2011.0,Role-Playing,5.08,2.8,0.1,0.86,8.84
SNES,1992.0,Racing,3.54,1.24,3.81,0.18,8.76
PS4,2015.0,Sports,1.13,6.13,0.06,1.28,8.6
X,2004.0,Shooter,6.82,1.53,0.05,0.08,8.49
Wii,2010.0,Misc,1.75,3.48,2.49,0.67,8.39
Wii,2007.0,Misc,3.74,2.25,1.58,0.71,8.28
PS4,2015.0,Shooter,3.11,3.56,0.22,1.32,8.21
PS3,2012.0,Action,1.07,5.01,0.13,1.97,8.17
N64,1997.0,Shooter,5.8,2.01,0.13,0.15,8.09
DS,2012.0,Role-Playing,2.79,1.72,3.15,0.41,8.08
PS2,2001.0,Role-Playing,2.91,2.07,2.73,0.33,8.05
PC,2009.0,Simulation,0.99,6.42,0.0,0.6,8.01
Wii,2007.0,Sports,2.57,3.86,0.66,0.91,7.99
PS,1999.0,Role-Playing,2.28,1.72,3.63,0.23,7.86
2600,1982.0,Puzzle,7.28,0.45,0.0,0.08,7.81
DS,2008.0,Role-Playing,2.76,1.72,2.69,0.54,7.72
PSP,2005.0,Action,2.9,2.81,0.24,1.73,7.69
PS4,2014.0,Shooter,2.83,3.48,0.14,1.24,7.68
3DS,2014.0,Fighting,3.3,1.4,2.44,0.48,7.62
N64,1998.0,Action,4.1,1.89,1.45,0.16,7.6
PS,1997.0,Platform,3.78,2.17,1.31,0.31,7.58
Wii,2010.0,Platform,3.58,2.36,0.98,0.62,7.54
NES,1988.0,Platform,5.39,1.18,0.7,0.19,7.46
XOne,2015.0,Shooter,4.62,2.12,0.02,0.69,7.44
X360,2008.0,Shooter,4.83,1.9,0.0,0.7,7.42
PS4,2015.0,Role-Playing,2.58,3.42,0.24,1.17,7.41
X360,2011.0,Shooter,4.47,2.11,0.06,0.69,7.33
PS4,2016.0,Shooter,2.92,2.98,0.19,1.18,7.28
WiiU,2014.0,Racing,3.17,2.25,1.29,0.52,7.23
PS2,2003.0,Racing,3.27,2.83,0.08,1.02,7.2
Wii,2009.0,Misc,3.48,2.99,0.0,0.73,7.2
PS3,2011.0,Shooter,2.86,2.89,0.35,1.08,7.18
PS,1998.0,Fighting,3.27,2.22,1.4,0.29,7.16
Wii,2006.0,Action,3.74,2.14,0.6,0.68,7.16
PS,1998.0,Platform,3.68,1.75,1.42,0.28,7.13
GC,2001.0,Fighting,4.41,1.04,1.39,0.22,7.07
GC,2003.0,Racing,4.12,1.77,0.87,0.19,6.95
PS2,2004.0,Racing,2.71,3.02,0.08,1.09,6.9
PS2,2002.0,Shooter,2.93,2.75,0.17,0.99,6.83
PS,1996.0,Platform,3.23,2.35,0.94,0.3,6.82
Wii,2012.0,Misc,4.05,2.16,0.0,0.55,6.76
X360,2008.0,Shooter,4.15,1.9,0.06,0.64,6.75
PS3,2011.0,Action,2.77,2.75,0.19,1.03,6.74
Wii,2010.0,Sports,3.46,2.6,0.0,0.66,6.72
PS3,2007.0,Shooter,3.11,2.26,0.28,1.03,6.69
PS3,2009.0,Action,3.27,2.2,0.21,0.98,6.67
PS3,2011.0,Sports,0.84,4.3,0.11,1.4,6.65
DS,2005.0,Misc,1.66,2.75,1.6,0.62,6.63
NES,1986.0,Action,3.74,0.93,1.69,0.14,6.51
PS3,2010.0,Action,2.8,2.53,0.17,1.0,6.51
PS3,2013.0,Sports,0.79,4.24,0.07,1.38,6.48
Wii,2010.0,Platform,3.18,1.8,1.03,0.46,6.47
PS3,2012.0,Action,2.65,2.52,0.16,1.12,6.46
